[05:02:08] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: :side1 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: :start1 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: :side2 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: :side0 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: :bg1a 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: :bg2a 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: press-1 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: press-4 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: press-3 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: press-2 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: note-2 没有属性 tex4
[05:02:08] [UISComponent.getImage/WARNING]: note-1 没有属性 tex4
[05:02:08] [UISComponent.getImage/WARNING]: note-4 没有属性 tex4
[05:02:08] [UISComponent.getImage/WARNING]: note-3 没有属性 tex4
[05:02:08] [UISComponent.getImage/WARNING]: hit-4 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: hit-3 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: hit-2 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: hit-1 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: score-acc 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: pause 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: score-combo 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: judge-3 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: judge-2 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: judge-4 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: judge-1 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: score-score 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: score-maxcombo 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: _gauge3a 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: _gauge3b 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: _gauge3c 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: _bg1a 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: _bg1b 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: _bg1c 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: _bg1d 没有属性 tex
[05:02:08] [UISComponent.getImage/WARNING]: _bg2a 没有属性 tex
[05:02:13] [CssStyleHelper.calculateValue/WARNING]: 警告: Caught 'java.lang.ClassCastException: class java.lang.String cannot be cast to class javafx.scene.paint.Paint (java.lang.String is in module java.base of loader 'bootstrap'; javafx.scene.paint.Paint is in unnamed module of loader 'app')' while converting value for '-fx-border-color' from rule '*.context-menu' in stylesheet file:/D:/Projects/ZXNoter/out/production/ZXNoterUIFrame/resources/baseExpansionPack/color/style.css
[05:02:14] [UISSkin.parseMUI/INFO]: 引用 mui: main.mui
[05:02:14] [UISComponent.getImage/WARNING]: _warn 没有属性 tex
[05:02:14] [UISComponent.getImage/WARNING]: _warnb 没有属性 tex
[05:02:14] [UISComponent.getImage/WARNING]: _warna 没有属性 tex
[05:02:14] [UISSkin.parseMUI/INFO]: 引用 mui: main.mui
[05:02:14] [UISComponent.getImage/WARNING]: _warn 没有属性 tex
[05:02:14] [UISComponent.getImage/WARNING]: _warnb 没有属性 tex
[05:02:14] [UISComponent.getImage/WARNING]: _warna 没有属性 tex
[05:02:16] [UISSkin.parseMUI/INFO]: 引用 mui: main.mui
[05:02:16] [UISComponent.getImage/WARNING]: :bg2 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :bg1 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: note-2 没有属性 tex4
[05:02:16] [UISComponent.getImage/WARNING]: note-1 没有属性 tex4
[05:02:16] [UISComponent.getImage/WARNING]: hit-4 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: hit-3 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: hit-2 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: score-acc 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: _warn 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: hit-1 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: note-4 没有属性 tex4
[05:02:16] [UISComponent.getImage/WARNING]: note-3 没有属性 tex4
[05:02:16] [UISComponent.getImage/WARNING]: score-score 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: press-1 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: press-4 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: pause 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: press-3 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: press-2 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: score-maxcombo 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: _bg2a 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :side1 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :start1 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :side2 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :side0 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: score-combo 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: _warnb 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: _warna 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :bg1a 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: _gauge3a 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: judge-3 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: _gauge3b 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: judge-2 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: _gauge3c 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: judge-4 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: judge-1 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: _bg1a 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: _bg1b 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: _bg1c 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: _bg1d 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :bg2a 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :bg2 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :bg1 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :side1 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :start1 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :side2 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :side0 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :bg1a 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: :bg2a 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: press-1 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: press-4 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: press-3 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: press-2 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: note-2 没有属性 tex4
[05:02:16] [UISComponent.getImage/WARNING]: note-1 没有属性 tex4
[05:02:16] [UISComponent.getImage/WARNING]: note-4 没有属性 tex4
[05:02:16] [UISComponent.getImage/WARNING]: note-3 没有属性 tex4
[05:02:16] [UISComponent.getImage/WARNING]: hit-4 没有属性 tex
[05:02:16] [UISComponent.getImage/WARNING]: hit-3 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: hit-2 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: hit-1 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: score-acc 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: pause 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: score-combo 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: judge-3 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: judge-2 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: judge-4 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: judge-1 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: score-score 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: score-maxcombo 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: _gauge3a 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: _gauge3b 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: _gauge3c 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: _bg1a 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: _bg1b 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: _bg1c 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: _bg1d 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: _bg2a 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: _warn 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: _warnb 没有属性 tex
[05:02:17] [UISComponent.getImage/WARNING]: _warna 没有属性 tex
[05:02:20] [CssStyleHelper.calculateValue/WARNING]: 警告: Caught 'java.lang.ClassCastException: class java.lang.String cannot be cast to class javafx.scene.paint.Paint (java.lang.String is in module java.base of loader 'bootstrap'; javafx.scene.paint.Paint is in unnamed module of loader 'app')' while converting value for '-fx-border-color' from rule '*.context-menu' in stylesheet file:/D:/Projects/ZXNoter/out/production/ZXNoterUIFrame/resources/baseExpansionPack/color/style.css
[05:02:21] [UISSkin.parseMUI/INFO]: 引用 mui: main.mui
[05:02:21] [UISSkin.updateRenderer/INFO]: 移除组件：_warn
[05:02:21] [UISSkin.updateRenderer/INFO]: 移除组件：_warnb
[05:02:21] [UISSkin.updateRenderer/INFO]: 移除组件：_warna
[05:02:21] [UISSkin.parseMUI/INFO]: 引用 mui: main.mui
[05:02:23] [UISSkin.parseMUI/INFO]: 引用 mui: main.mui
[05:02:23] [UISComponent.getImage/WARNING]: :bg2 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :bg1 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: note-2 没有属性 tex4
[05:02:23] [UISComponent.getImage/WARNING]: note-1 没有属性 tex4
[05:02:23] [UISComponent.getImage/WARNING]: hit-4 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: hit-3 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: hit-2 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: score-acc 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: hit-1 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: note-4 没有属性 tex4
[05:02:23] [UISComponent.getImage/WARNING]: note-3 没有属性 tex4
[05:02:23] [UISComponent.getImage/WARNING]: score-score 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: press-1 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: press-4 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: pause 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: press-3 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: press-2 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: score-maxcombo 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _bg2a 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :side1 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :start1 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :side2 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :side0 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: score-combo 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :bg1a 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _gauge3a 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: judge-3 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _gauge3b 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: judge-2 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _gauge3c 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: judge-4 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: judge-1 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _bg1a 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _bg1b 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _bg1c 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _bg1d 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :bg2a 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :bg2 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :bg1 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :side1 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :start1 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :side2 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :side0 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :bg1a 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: :bg2a 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: press-1 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: press-4 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: press-3 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: press-2 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: note-2 没有属性 tex4
[05:02:23] [UISComponent.getImage/WARNING]: note-1 没有属性 tex4
[05:02:23] [UISComponent.getImage/WARNING]: note-4 没有属性 tex4
[05:02:23] [UISComponent.getImage/WARNING]: note-3 没有属性 tex4
[05:02:23] [UISComponent.getImage/WARNING]: hit-4 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: hit-3 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: hit-2 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: hit-1 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: score-acc 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: pause 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: score-combo 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: judge-3 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: judge-2 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: judge-4 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: judge-1 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: score-score 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: score-maxcombo 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _gauge3a 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _gauge3b 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _gauge3c 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _bg1a 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _bg1b 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _bg1c 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _bg1d 没有属性 tex
[05:02:23] [UISComponent.getImage/WARNING]: _bg2a 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :bg2 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :bg1 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: score-acc 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: score-score 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: pause 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: score-maxcombo 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _bg2a 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :side1 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :start1 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :side2 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :side0 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: score-combo 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :bg1a 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _gauge3a 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _gauge3b 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _gauge3c 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _bg1a 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _bg1b 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _bg1c 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _bg1d 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :bg2a 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :bg2 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :bg1 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :side1 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :start1 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :side2 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :side0 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :bg1a 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: :bg2a 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: score-acc 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: pause 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: score-combo 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: score-score 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: score-maxcombo 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _gauge3a 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _gauge3b 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _gauge3c 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _bg1a 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _bg1b 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _bg1c 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _bg1d 没有属性 tex
[05:02:28] [UISComponent.getImage/WARNING]: _bg2a 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :bg2 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :bg1 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: score-acc 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: score-score 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: pause 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: score-maxcombo 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _bg2a 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :side1 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :start1 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :side2 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :side0 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: score-combo 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :bg1a 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _gauge3a 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _gauge3b 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _gauge3c 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _bg1a 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _bg1b 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _bg1c 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _bg1d 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :bg2a 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :bg2 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :bg1 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :side1 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :start1 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :side2 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :side0 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :bg1a 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: :bg2a 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: score-acc 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: pause 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: score-combo 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: score-score 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: score-maxcombo 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _gauge3a 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _gauge3b 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _gauge3c 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _bg1a 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _bg1b 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _bg1c 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _bg1d 没有属性 tex
[05:03:10] [UISComponent.getImage/WARNING]: _bg2a 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :bg2 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :bg1 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: score-acc 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: score-score 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: pause 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: score-maxcombo 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: _bg2a 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :side1 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :start1 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :side2 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :side0 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: score-combo 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :bg1a 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: _gauge3a 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: _gauge3b 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: _gauge3c 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: _bg1a 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: _bg1b 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: _bg1c 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: _bg1d 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :bg2a 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :bg2 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :bg1 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :malody 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :warn 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :side3 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :side4 没有属性 tex
[05:03:18] [UISComponent.getImage/WARNING]: :start2 没有属性 tex
